регион,дата,девелопер,проект,м2,шт,локация SMLT,координаты,индекс,индекс_проект,АТД,кол-во месяцев для темпа
МО,01.01.2023,Гранель,Ильинойс,"871,2",24,СПУТНИК / КВАРТАЛ СТРОГИНО,"[55.808933, 37.318918]",4,4_Ильинойс,Красногорск городской округ,11
МО,01.01.2023,Гранель,Императорские Мытищи,"1143,2",29,0,,,Императорские Мытищи,0,11
МО,01.01.2023,Гранель,Инновация,"2988,6",71,0,,,Инновация,0,11
Москва,01.01.2023,Гранель,Май Приорити Басманный,"1102,4",22,0,,,Май Приорити Басманный,0,11
Москва,01.01.2023,Гранель,Май Приорити Дубровка,"1278,4",32,0,,,Май Приорити Дубровка,0,11
МО,01.01.2023,Гранель,Новая Рига,"3173,2",88,0,,,Новая Рига,0,11
МО,01.01.2023,Гранель,Пехра,"4723,2",126,КВАРТАЛ АВИАТОРОВ,"[55.834675, 37.955698]",6,6_Пехра,Балашиха городской округ,11
Москва,01.01.2023,Гранель,Профит,"2473,9",65,0,,,Профит,0,11
Москва,01.01.2023,Гранель,Тринити,"30,1",1,0,,,Тринити,0,11
Москва,01.01.2023,Гранель,Тринити-2,"656,1",18,0,,,Тринити-2,0,11
Москва,01.01.2023,Гранель,Хайвэй,"1380,4",43,0,,,Хайвэй,0,11
Москва,01.01.2023,Д-Инвест,Легендарный квартал,"77,5",2,0,,,Легендарный квартал,0,11
Москва,01.01.2023,Донстрой,Огни,"71,8",1,0,,,Огни,0,11
Москва,01.01.2023,Донстрой,Остров,"2043,1",30,0,,,Остров,0,11
Москва,01.01.2023,Донстрой,Сердце Столицы,"158,3",3,0,,,Сердце Столицы,0,11
Москва,01.01.2023,Донстрой,Символ,"2194,3",40,0,,,Символ,0,11
Москва,01.01.2023,Донстрой,Событие,"1403,4",18,0,,,Событие,0,11
МО,01.01.2023,Е-Инвест,Федоскинская слобода,"50,2",1,0,,,Федоскинская слобода,0,0
МО,01.01.2023,Замитино,Замитино,"120,5",3,ПЯТНИЦКИЕ ЛУГА / КВАРТАЛ САБУРОВО,"[55.885307, 37.258228]",1,1_Замитино,Красногорск городской округ,11
МО,01.01.2023,Ин-Групп,Феникс,"44,2",1,0,,,Феникс,0,8
МО,01.01.2023,Инвестиционный департамент,Квартал 24 (Дубна),79,1,0,,,Квартал 24 (Дубна),0,0
МО,01.01.2023,Инвестстрой,Отрадный,"1146,5",26,0,,,Отрадный,0,11
МО,01.01.2023,Инвестстройрегион,Центральный (Одинцово),"40,9",1,0,,,Центральный (Одинцово),0,11
НМ,01.01.2023,Инвесттраст (Рост),Новые Ватутинки,"953,8",17,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.518669, 37.348826]",3,3_Новые Ватутинки,НАО,11
НМ,01.01.2023,Инвесттраст (Рост),Новые Ватутинки Десна,"40,6",1,0,,,Новые Ватутинки Десна,0,11
НМ,01.01.2023,Инвесттраст (Рост),Новые Ватутинки Заречный,"893,9",21,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.520918, 37.387180]",2,2_Новые Ватутинки Заречный,НАО,11
Москва,01.01.2023,ИФД Капитал,Город на реке Тушино-2018,"73,2",1,0,,,Город на реке Тушино-2018,0,11
Москва,01.01.2023,ИФД Капитал,Примавера,"568,5",6,0,,,Примавера,0,11
МО,01.01.2023,Казачий торговый дом,Ивантеевка 2020,92,2,0,,,Ивантеевка 2020,0,11
НМ,01.01.2023,Ключ,Бристоль,"34,8",1,0,,,Бристоль,0,11
МО,01.01.2023,Конструктор,Домодедово Парк,"744,6",19,ПРИБРЕЖНЫЙ ПАРК / НОВОЕ ВИДНОЕ,"[55.473699, 37.705580]",1,1_Домодедово Парк,Домодедово городской округ,11
Москва,01.01.2023,КОРТРОС,Ай Лав,"398,6",7,ОКТЯБРЬСКАЯ 98,"[55.810057, 37.625859]",3,3_Ай Лав,СВАО,11
МО,01.01.2023,КОРТРОС,Равновесие,"186,4",4,РУБЛЁВСКИЙ КВАРТАЛ,"[55.652623, 37.121020]",1,1_Равновесие,Одинцово городской округ,11
Москва,01.01.2023,КОРТРОС,Хэдлайнер,"491,9",6,0,,,Хэдлайнер,0,11
Москва,01.01.2023,Крост,Велтон Парк,"136,6",2,0,,,Велтон Парк,0,11
Москва,01.01.2023,Крост,Кристалл Трилогия,560,8,ВЕРЕСК / МЯТА,"[55.782449, 37.463650]",3,3_Кристалл Трилогия,СЗАО,11
Москва,01.01.2023,Крост,Малевич,"446,9",8,0,,,Малевич,0,11
Москва,01.01.2023,Крост,Театральный квартал,"244,6",4,ВЕРЕСК / МЯТА,"[55.791486, 37.477368]",5,5_Театральный квартал,СЗАО,11
МО,01.01.2023,Ломоносов Девелопмент,Мытищи Сити,"155,3",3,0,,,Мытищи Сити,0,10
Москва,01.01.2023,ЛСР,Вейв,"95,7",2,КВАРТАЛ ДОМАШНИЙ / КВАРТАЛ НА ВОДЕ,"[55.636903, 37.706174]",1,1_Вейв,ЮАО,11
Москва,01.01.2023,ЛСР,Дмитровское небо,"662,2",21,0,,,Дмитровское небо,0,11
Москва,01.01.2023,ЛСР,Зиларт,"1418,1",25,НОВОДАНИЛОВСКАЯ 8,"[55.698017, 37.635941]",5,5_Зиларт,ЮАО,11
Москва,01.01.2023,ЛСР,Лучи,"22,5",1,0,,,Лучи,0,11
Москва,01.01.2023,ЛСР,Лучи-2,"2291,3",77,0,,,Лучи-2,0,11
Москва,01.01.2023,ЛСР,Парк Сайд,"1065,5",36,0,,,Парк Сайд,0,11
МО,01.01.2023,М.О.Д.,Радость,"388,5",14,0,,,Радость,0,11
Москва,01.01.2023,Мангазея Девелопмент,Интонация,"294,6",4,0,,,Интонация,0,11
МО,01.01.2023,Мегастрой,Никольская панорама,"84,4",2,0,,,Никольская панорама,0,11
Москва,01.01.2023,Метрополис,Лес,"52,9",1,0,,,Лес,0,11
МО,01.01.2023,МИЦ,Каштановая роща,"483,3",12,0,,,Каштановая роща,0,11
НМ,01.01.2023,МИЦ,Квартал Румянцево,"1079,9",26,ТРОПАРЁВО ПАРК / КВАРТАЛ РУМЯНЦЕВО,"[55.624266, 37.442338]",4,4_Квартал Румянцево,НАО,11
МО,01.01.2023,Мортон (ПИК),Бутово Парк 2Б,3948,75,ПРИГОРОД ЛЕСНОЕ / ГОРКИ ПАРК / БОГДАНОВСКИЙ ЛЕС,"[55.548462, 37.587407]",1,1_Бутово Парк 2Б,Ленинский городской округ,11
МО,01.01.2023,Мортон (ПИК),Восточное Бутово,"5137,2",106,ПРИГОРОД ЛЕСНОЕ / ГОРКИ ПАРК / БОГДАНОВСКИЙ ЛЕС,"[55.532377, 37.617693]",2,2_Восточное Бутово,Ленинский городской округ,11
МО,01.01.2023,Мортон (ПИК),Ильинские луга,"335,7",10,0,,,Ильинские луга,0,11
Москва,01.01.2023,Московский фонд реновации,Дежнева 30-32 (реновация),"58,4",1,0,,,Дежнева 30-32 (реновация),0,8
Москва,01.01.2023,Московский фонд реновации,Новочеремушкинская 27 (реновация),"61,3",1,0,,,Новочеремушкинская 27 (реновация),0,5
МО,01.01.2023,Недвижимость и Право,Малая Истра,"29,5",1,0,,,Малая Истра,0,11
МО,01.01.2023,Недвижимость и Право,Опалиха Парк,"136,8",3,0,,,Опалиха Парк,0,11
Москва,01.01.2023,Новая жизнь,Измайловский парк,"410,3",15,0,,,Измайловский парк,0,11
МО,01.01.2023,НПО Машиностроения,Самоцветы мира,"2034,2",44,0,,,Самоцветы мира,0,0
Москва,01.01.2023,Основа,Вэри,"298,6",5,0,,,Вэри,0,11
МО,01.01.2023,Основа,Гоголь Парк,"297,5",5,0,,,Гоголь Парк,0,11
Москва,01.01.2023,Основа,Мираполис,"329,7",11,0,,,Мираполис,0,11
Москва,01.01.2023,Основа,Наметкин Тауэр,"262,9",4,0,,,Наметкин Тауэр,0,11
Москва,01.01.2023,Основа,Уно Головинские пруды,"357,9",8,0,,,Уно Головинские пруды,0,11
Москва,01.01.2023,Основа,Уно Старокоптевский,283,5,0,,,Уно Старокоптевский,0,11
Москва,01.01.2023,Основа,Физтех Сити,210,5,0,,,Физтех Сити,0,11
МО,01.01.2023,Отрада Девелопмент,Отрада Комфорт,"1923,4",41,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.872022, 37.314616]",3,3_Отрада Комфорт,Красногорск городской округ,11
МО,01.01.2023,Отрада Девелопмент,Смарт Квартал Лесная отрада,"251,9",7,0,,,Смарт Квартал Лесная отрада,0,11
Москва,01.01.2023,ПИК,Академика Павлова,"1640,4",32,0,,,Академика Павлова,0,11
Москва,01.01.2023,ПИК,Алтуфьевское 53,1830,44,0,,,Алтуфьевское 53,0,11
Москва,01.01.2023,ПИК,Амурский Парк,"3623,1",89,0,,,Амурский Парк,0,11
Москва,01.01.2023,ПИК,Барклая 6,"2564,1",44,0,,,Барклая 6,0,11
МО,01.01.2023,ПИК,Белая Дача Парк,"1752,2",35,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.657042, 37.873772]",4,4_Белая Дача Парк,Котельники городской округ,11
Москва,01.01.2023,ПИК,Большая Академическая 85,"876,4",19,0,,,Большая Академическая 85,0,11
Москва,01.01.2023,ПИК,Большая Очаковская 2,"263,3",7,ВЕРЕЙСКАЯ 41,"[55.692024, 37.467509]",3,3_Большая Очаковская 2,ЗАО,11
НМ,01.01.2023,ПИК,Бунинские луга,"4254,3",109,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.543718, 37.482062]",3,3_Бунинские луга,НАО,11
Москва,01.01.2023,ПИК,Бусиновский парк,"1696,5",43,0,,,Бусиновский парк,0,11
Москва,01.01.2023,ПИК,Вангарден,"1452,7",28,ВЕРЕЙСКАЯ 41,"[55.693886, 37.459684]",4,4_Вангарден,ЗАО,11
Москва,01.01.2023,ПИК,Волжский парк,"2008,6",45,0,,,Волжский парк,0,11
Москва,01.01.2023,ПИК,Волоколамское 24,158,3,0,,,Волоколамское 24,0,11
Москва,01.01.2023,ПИК,Второй Нагатинский,"2859,6",70,0,,,Второй Нагатинский,0,11
Москва,01.01.2023,ПИК,Грин Парк,"1423,4",31,0,,,Грин Парк,0,11
Москва,01.01.2023,ПИК,Дмитровский парк,"1824,5",35,0,,,Дмитровский парк,0,11
МО,01.01.2023,ПИК,Жулебино Парк,"2410,2",61,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.677194, 37.866082]",3,3_Жулебино Парк,Люберцы городской округ,11
Москва,01.01.2023,ПИК,Зеленый парк,"3113,5",80,0,,,Зеленый парк,0,11
МО,01.01.2023,ПИК,Измайловский леc,"1114,7",29,КВАРТАЛ АВИАТОРОВ,"[55.785146, 37.850363]",1,1_Измайловский леc,Балашиха городской округ,11
МО,01.01.2023,ПИК,Ильинские луга,"4757,1",119,0,,,Ильинские луга,0,11
Москва,01.01.2023,ПИК,Кавказский 51,"1751,1",37,0,,,Кавказский 51,0,11
Москва,01.01.2023,ПИК,Кольская 8,"1714,3",36,0,,,Кольская 8,0,11
Москва,01.01.2023,ПИК,Красноказарменная 15,"403,4",9,0,,,Красноказарменная 15,0,11
Москва,01.01.2023,ПИК,Кронштадтский 14,"1127,5",24,0,,,Кронштадтский 14,0,11
Москва,01.01.2023,ПИК,Кронштадтский 9,2276,42,0,,,Кронштадтский 9,0,11
МО,01.01.2023,ПИК,Кузьминский лес,"1376,5",27,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.662598, 37.854781]",2,2_Кузьминский лес,Котельники городской округ,11
Москва,01.01.2023,ПИК,Лосиноостровский парк,"2212,5",53,0,,,Лосиноостровский парк,0,11
МО,01.01.2023,ПИК,Люберцы Парк,"56,2",2,0,,,Люберцы Парк,0,11
Москва,01.01.2023,ПИК,Люблинский парк,"7302,8",201,КВАРТАЛ ДОМАШНИЙ / КВАРТАЛ НА ВОДЕ,"[55.662060, 37.731560]",3,3_Люблинский парк,ЮВАО,11
Москва,01.01.2023,ПИК,Матвеевский парк,"5018,3",125,0,,,Матвеевский парк,0,11
Москва,01.01.2023,ПИК,Митинский лес,2181,51,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.861683, 37.374618]",4,4_Митинский лес,СЗАО,11
Москва,01.01.2023,ПИК,Михайловский парк,"1517,6",36,0,,,Михайловский парк,0,11
Москва,01.01.2023,ПИК,Мичуринский парк,"2824,1",62,0,,,Мичуринский парк,0,11
Москва,01.01.2023,ПИК,Никольские луга,"2650,9",65,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.520161, 37.572145]",1,1_Никольские луга,ЮЗАО,11
Москва,01.01.2023,ПИК,Новое Очаково,"2181,1",46,0,,,Новое Очаково,0,11
Москва,01.01.2023,ПИК,Новохохловская 15,"1254,3",31,0,,,Новохохловская 15,0,11
МО,01.01.2023,ПИК,Одинцово-1,"2574,6",68,РУБЛЁВСКИЙ КВАРТАЛ,"[55.655397, 37.270481]",5,5_Одинцово-1,Одинцово городской округ,11
Москва,01.01.2023,ПИК,Открытый парк,"1847,3",43,0,,,Открытый парк,0,11
Москва,01.01.2023,ПИК,Первый Дубровский,"2094,1",51,0,,,Первый Дубровский,0,11
Москва,01.01.2023,ПИК,Перовское 2,"4347,4",114,0,,,Перовское 2,0,11
Москва,01.01.2023,ПИК,Полар,"1505,5",39,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.892933, 37.643937]",5,5_Полар,СВАО,11
Москва,01.01.2023,ПИК,Полярная 25,"2958,9",52,0,,,Полярная 25,0,11
Москва,01.01.2023,ПИК,Римского-Корсакова 11,"517,8",12,0,,,Римского-Корсакова 11,0,11
Москва,01.01.2023,ПИК,Руставели 14,"4872,4",104,ОКТЯБРЬСКАЯ 98,"[55.812141, 37.599946]",6,6_Руставели 14,СВАО,11
НМ,01.01.2023,ПИК,Саларьево Парк,"3647,2",86,ТРОПАРЁВО ПАРК / КВАРТАЛ РУМЯНЦЕВО,"[55.617103, 37.414014]",3,3_Саларьево Парк,НАО,11
НМ,01.01.2023,ПИК,Середневский лес,"1977,1",51,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.567989, 37.285681]",4,4_Середневский лес,НАО,11
Москва,01.01.2023,ПИК,Сигнальный 16,"2719,8",67,0,,,Сигнальный 16,0,11
МО,01.01.2023,ПИК,Томилинский бульвар,"753,1",19,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.662616, 37.867322]",3,3_Томилинский бульвар,Котельники городской округ,10
Москва,01.01.2023,ПИК,Холланд Парк,"3129,6",66,0,,,Холланд Парк,0,11
НМ,01.01.2023,ПИК,Юнино,"76,8",1,0,,,Юнино,0,10
Москва,01.01.2023,ПИК,Ютаново,"3558,1",83,0,,,Ютаново,0,11
Москва,01.01.2023,ПИК (Forma),Портлэнд,"3730,8",74,0,,,Портлэнд,0,10
Москва,01.01.2023,ПИК (Forma),Репаблик,"873,6",12,0,,,Репаблик,0,11
Москва,01.01.2023,ПИК (Forma),Соул,529,11,0,,,Соул,0,10
Москва,01.01.2023,ПИК (Forma),Форст,"1422,2",28,НОВОДАНИЛОВСКАЯ 8,"[55.705952, 37.631786]",3,3_Форст,ЮАО,11
Москва,01.01.2023,Пионер,Лайф Варшавская,"2435,9",42,0,,,Лайф Варшавская,0,11
Москва,01.01.2023,Пионер,Опус,"112,2",2,0,,,Опус,0,11
Москва,01.01.2023,Пионер,Прайд,"1367,3",22,ОКТЯБРЬСКАЯ 98,"[55.798583, 37.599694]",4,4_Прайд,СВАО,11
Москва,01.01.2023,Пионер,Хай Лайф,"360,4",4,СТРЕМЯННЫЙ 2,"[55.725578, 37.645064]",4,4_Хай Лайф,ЮАО,11
Москва,01.01.2023,Прима Мех,Тургенев,303,2,0,,,Тургенев,0,11
МО,01.01.2023,Проксима-1,Москворецкий (Тучково),"35,2",1,0,,,Москворецкий (Тучково),0,11
МО,01.01.2023,Профи Инвест,31-й квартал (Пушкино),"32,2",1,0,,,31-й квартал (Пушкино),0,11
МО,01.01.2023,Профи Инвест,Ривер Парк (Королев),"620,8",13,0,,,Ривер Парк (Королев),0,11
МО,01.01.2023,Профи Инвест,Тургенева 9-13 (Пушкино),278,5,0,,,Тургенева 9-13 (Пушкино),0,11
МО,01.01.2023,Р Инвест,Дом на Сиреневой,"371,1",6,0,,,Дом на Сиреневой,0,11
МО,01.01.2023,Р Инвест,Солнечная долина,"231,7",5,0,,,Солнечная долина,0,11
МО,01.01.2023,Р Инвест,Солнечный Парк 2,"212,6",4,0,,,Солнечный Парк 2,0,11
Москва,01.01.2023,РГ Девелопмент,Михалковский,"225,9",5,0,,,Михалковский,0,11
Москва,01.01.2023,РГ Девелопмент,Петровский парк 2,"591,2",11,0,,,Петровский парк 2,0,11
Москва,01.01.2023,РГ Девелопмент,Родной Город. Октябрьское поле,"840,6",19,ВЕРЕСК / МЯТА,"[55.790656, 37.471066]",7,7_Родной Город. Октябрьское поле,СЗАО,11
МО,01.01.2023,Региондевелопмент,Пилот 9 18,"435,5",6,0,,,Пилот 9 18,0,11
МО,01.01.2023,Риверхаус,Ривер Хаус,"636,4",8,0,,,Ривер Хаус,0,11
Москва,01.01.2023,РКС Девелопмент,Инсайдер,"48,4",2,0,,,Инсайдер,0,11
НМ,01.01.2023,Родина,Рашн Дизайн Дистрикт,255,4,0,,,Рашн Дизайн Дистрикт,0,11
Москва,01.01.2023,Родина,Союз,"135,9",2,0,,,Союз,0,11
МО,01.01.2023,Рос Евро Сити,Шолохово,"343,8",5,0,,,Шолохово,0,11
МО,01.01.2023,Рос Евро Сити,Южное Пушкино,"294,2",4,0,,,Южное Пушкино,0,11
МО,01.01.2023,Русич,Новые Котельники,"1574,8",31,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.639301, 37.848220]",1,1_Новые Котельники,Котельники городской округ,11
МО,01.01.2023,Русстрой,Новое Лыткарино,"309,4",6,0,,,Новое Лыткарино,0,11
МО,01.01.2023,Садовое кольцо ГК,М5,"125,4",2,СПУТНИК / КВАРТАЛ СТРОГИНО,"[55.812862, 37.354391]",2,2_М5,Красногорск городской округ,11
МО,01.01.2023,Садовое кольцо ГК,Тетрис,"430,4",9,СПУТНИК / КВАРТАЛ СТРОГИНО,"[55.817158, 37.343353]",3,3_Тетрис,Красногорск городской округ,11
МО,01.01.2023,Салтыковка,Салтыковка-Престиж,"262,6",3,0,,,Салтыковка-Престиж,0,11
НМ,01.01.2023,Самолет,Алхимово,"1660,42",46,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.474459, 37.528765]",8,8_Алхимово,НАО,11
МО,01.01.2023,Самолет,Большое Путилково,"1782,16",41,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.866757, 37.386927]",6,6_Большое Путилково,Красногорск городской округ,11
Москва,01.01.2023,Самолет,Верейская 41,"304,2",7,ВЕРЕЙСКАЯ 41,"[55.711666, 37.429393]",6,6_Верейская 41,ЗАО,11
Москва,01.01.2023,МИЦ,Вереск,"568,8",9,ВЕРЕСК / МЯТА,"[55.784648, 37.494212]",8,8_Вереск,СЗАО,11
МО,01.01.2023,Самолет,Горки Парк,"4796,07",107,ПРИГОРОД ЛЕСНОЕ / ГОРКИ ПАРК / БОГДАНОВСКИЙ ЛЕС,"[55.527217, 37.823439]",4,4_Горки Парк,Ленинский городской округ,11
МО,01.01.2023,Самолет,Долина Яузы,"272,01",5,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.889315, 37.713414]",8,8_Долина Яузы,Мытищи городской округ,11
МО,01.01.2023,Самолет,Егорово Парк,"2097,71",46,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.639263, 37.943287]",5,5_Егорово Парк,Люберцы городской округ,11
МО,01.01.2023,Самолет,Заречье Парк,"409,3",9,ЗАРЕЧЬЕ ПАРК,"[55.684980, 37.408362]",4,4_Заречье Парк,Одинцово городской округ,11
МО,01.01.2023,Самолет,Квартал Ивакино,"1402,86",51,МОЛЖАНИНОВО / КВАРТАЛ ИВАКИНО,"[55.951205, 37.469831]",4,4_Квартал Ивакино,Химки городской округ,11
МО,01.01.2023,Самолет,Квартал Сабурово,"366,14",10,ПЯТНИЦКИЕ ЛУГА / КВАРТАЛ САБУРОВО,"[55.881746, 37.252491]",4,4_Квартал Сабурово,Красногорск городской округ,10
МО,01.01.2023,Самолет,Люберцы,"4026,94",99,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.698227, 37.954578]",6,6_Люберцы,Люберцы городской округ,11
Москва,01.01.2023,Самолет,Молжаниново,"3052,13",67,МОЛЖАНИНОВО / КВАРТАЛ ИВАКИНО,"[55.934994, 37.362195]",5,5_Молжаниново,САО,11
МО,01.01.2023,Самолет,Мытищи Парк,"5735,11",137,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.945968, 37.769712]",9,9_Мытищи Парк,Мытищи городской округ,11
Москва,01.01.2023,МИЦ,Мята,"727,7",14,ВЕРЕСК / МЯТА,"[55.770803, 37.517938]",9,9_Мята,САО,11
Москва,01.01.2023,Самолет,Некрасовка,"506,8",8,0,,,Некрасовка,0,11
МО,01.01.2023,МИЦ,Новоград Павлино,844,21,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.725017, 37.975653]",5,5_Новоград Павлино,Балашиха городской округ,11
Москва,01.01.2023,Самолет,Новоданиловская 8,"197,7",4,НОВОДАНИЛОВСКАЯ 8,"[55.696778, 37.624588]",7,7_Новоданиловская 8,ЮАО,11
НМ,01.01.2023,Самолет,Новое Внуково,"3992,59",86,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.587682, 37.169816]",8,8_Новое Внуково,НАО,11
Москва,01.01.2023,МИЦ,Октябрьская 98,"842,8",20,ОКТЯБРЬСКАЯ 98,"[55.799789, 37.614735]",7,7_Октябрьская 98,Домодедово городской округ,11
НМ,01.01.2023,Самолет,Остафьево,"2446,6",45,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.499117, 37.517850]",9,9_Остафьево,НАО,11
